trip_id,trip_seg,fstop,tstop,time,dist
1074825,1,13103,13145,39,0.2708
1074825,2,13145,13119,25,0.1738
1074825,3,13119,13120,35,0.24260000000000004
1074825,4,13120,13121,29,0.1996
1074825,5,13121,13122,50,0.34619999999999984
1074825,6,13122,13123,62,0.3983000000000001
1074825,7,13123,13124,25,0.27459999999999996
1074825,8,13124,13125,34,0.3702000000000001
1074825,9,13125,13126,18,0.19669999999999987
1074825,10,13126,13127,46,0.4967999999999999
1074825,11,13127,8401,7,0.08340000000000014
1074825,12,8401,10813,50,0.4948999999999999
1074825,13,10813,13128,125,0.7825000000000002
1074825,14,13128,13129,80,0.5035999999999996
1074825,15,13129,13130,43,0.2713000000000001
1074825,16,13130,13131,37,0.2336999999999998
1074825,17,13131,3536,27,0.1698000000000004
1074825,18,3536,13132,24,0.1507000000000005
1074825,19,13132,13146,84,0.5142999999999995
1074825,20,13146,13133,56,0.43039999999999967
1074825,21,13133,3535,29,0.22630000000000017
1074825,22,3535,13135,45,0.3525999999999998
1074825,23,13135,13136,37,0.2848000000000006
1074825,24,13136,13137,67,0.5148999999999999
1074825,25,13137,13138,61,0.46830000000000016
1074825,26,13138,13139,57,0.4381000000000004
1074825,27,13139,13140,70,0.5385999999999989
1074825,28,13140,13141,25,0.1933000000000007
1074825,29,13141,13142,114,0.8757999999999999
1074825,30,13142,13147,39,0.27669999999999995
1074825,31,13147,13150,37,0.3981999999999992
1074825,32,13150,13151,38,0.4059000000000008
1074825,33,13151,13152,27,0.28439999999999976
1074825,34,13152,13148,18,0.16889999999999894
1074825,35,13148,13164,8,0.10510000000000197
1074825,36,13164,13163,22,0.2979000000000003
1074825,37,13163,13162,21,0.2817999999999987
1074825,38,13162,13161,15,0.20599999999999952
1074825,39,13161,13160,23,0.3117000000000001
1074825,40,13160,13159,16,0.2171000000000003
1074825,41,13159,13158,24,0.3144000000000009
1074825,42,13158,13157,11,0.15649999999999942
1074825,43,13157,13149,40,0.4623000000000008
1074825,44,13149,13156,33,0.18059999999999832
1074825,45,13156,13155,25,0.13420000000000165
1074825,46,13155,12994,55,0.29519999999999946
1074825,47,12994,12834,18,0.0970999999999993
1074825,48,12834,13153,35,0.18870000000000076
1074825,49,13153,12836,40,0.21499999999999986
1074826,5,10828,10829,25,0.17589999999999995
1074827,3,10826,10827,55,0.44109999999999994
1074827,6,10829,10830,157,0.4639000000000002
1074828,10,10833,10787,134,0.3883000000000001
1074829,2,13106,10826,33,0.2679
1074830,8,10831,10832,98,0.29170000000000007
1074831,1,13102,13106,120,0.5413
1074831,7,10830,10831,116,0.3447999999999998
1074831,9,10832,10833,95,0.2824
1074832,4,10827,10828,67,0.5347999999999999
1074833,1,10787,10788,41,0.4166
1074834,2,10788,10789,29,0.2998
1074834,3,10789,10790,27,0.27459999999999996
1074834,6,10792,13060,17,0.1615000000000002
1074834,7,13060,13061,34,0.3236999999999999
1074834,10,13063,13064,24,0.2333999999999996
1074834,11,13064,13029,29,0.2586000000000004
1074835,17,10803,10804,49,0.39860000000000007
1074835,22,13035,13103,180,1.0487000000000002
1074836,9,13062,13063,36,0.3453000000000004
1074836,18,10804,10805,53,0.4283999999999999
1074837,13,13066,13065,85,0.4443999999999999
1074837,16,10802,10803,30,0.2481
1074837,21,10807,13035,41,0.3010999999999999
1074838,12,13029,13066,69,0.3633999999999995
1074838,15,13030,10802,51,0.4106000000000005
1074839,14,13065,13030,86,0.4466000000000001
1074839,19,10805,10806,28,0.23189999999999955
1074840,4,10790,10791,31,0.3113
1074840,5,10791,10792,52,0.4996999999999998
1074840,8,13061,13062,40,0.3860999999999999
1074840,20,10806,10807,48,0.38949999999999996
1074841,4,13176,13123,132,1.0835000000000001
1074842,13,13167,13168,59,0.5758999999999999
1074843,11,13165,13166,87,0.8488000000000007
1074843,12,13166,13167,51,0.4955999999999996
1074844,1,13103,13052,98,0.4568
1074844,9,13032,13034,240,1.5781
1074845,14,13168,13169,54,0.5306999999999995
1074846,3,13053,13176,25,0.10819999999999985
1074846,10,13034,13165,42,0.41359999999999975
1074846,15,13169,13170,67,0.6150000000000002
1074847,2,13052,13053,117,0.5447000000000001
1074847,6,13124,13126,69,0.5667999999999997
1074847,8,13127,13032,66,0.5223
1074862,6,11098,11099,25,0.20829999999999993
1074862,7,11099,11100,15,0.12729999999999997
1074862,8,11100,11101,35,0.2890999999999999
1074862,9,11101,11102,21,0.17399999999999993
1074862,10,11102,11103,21,0.17149999999999999
1074862,11,11103,11104,16,0.13310000000000022
1074862,12,11104,11105,18,0.1520999999999999
1074887,3,11095,11096,66,0.28080000000000005
1074903,1,11106,11107,20,0.1338
1074903,3,11108,11109,20,0.12479999999999997
1074904,11,11116,11117,59,0.19279999999999986
1074905,7,11112,11113,26,0.15749999999999997
1074907,4,11109,11110,24,0.1446
1074907,10,11115,11116,85,0.27560000000000007
1074908,12,11117,11118,50,0.16300000000000026
1074916,13,11105,11106,22,0.19320000000000004
1074947,5,11097,11098,43,0.17690000000000006
1074948,4,11096,11097,52,0.22150000000000003
1074975,13,11118,11371,3,0.24219999999999997
1074976,2,11107,11108,30,0.18450000000000003
1074976,5,11110,11111,30,0.18410000000000004
1074976,6,11111,11112,46,0.2788999999999999
1074977,8,11113,11114,44,0.23240000000000016
1074978,9,11114,11115,43,0.14139999999999975
1074985,15,11134,11135,13,0.1275999999999997
1074987,8,11147,11148,22,0.17369999999999974
1074987,11,11150,11151,22,0.17490000000000006
1074988,3,13012,11143,35,0.27870000000000006
1074991,10,11149,11150,28,0.22380000000000022
1074992,12,11151,11152,30,0.19559999999999977
1074995,11,11130,11131,17,0.1676000000000002
1074995,12,11131,11132,17,0.1671999999999998
1074996,1,13021,11120,50,0.3627
1074997,5,11123,11124,32,0.23430000000000006
1074999,21,11139,11140,106,0.32509999999999994
1075001,16,11135,11136,28,0.2789999999999999
1075004,2,11120,11121,33,0.24270000000000003
1075004,9,11128,11129,23,0.2290000000000001
1075004,19,13011,11138,108,0.3346
1075005,17,11136,11137,26,0.2582
1075007,9,11148,11149,23,0.18520000000000003
1075008,4,11143,11144,39,0.3042
1075010,5,11144,11145,18,0.14139999999999997
1075019,4,11122,11123,26,0.19110000000000005
1075019,14,11133,11134,35,0.3458000000000001
1075021,18,11137,13011,16,0.09970000000000034
1075033,6,11145,11146,37,0.2892999999999999
1075035,13,11132,11133,29,0.28420000000000023
1075038,8,11127,11128,12,0.125
1075045,10,11129,11130,24,0.23889999999999967
1075045,20,11138,11139,86,0.26539999999999964
1075050,3,11121,11122,25,0.17999999999999994
1075052,6,11124,11125,43,0.30909999999999993
1075053,7,11125,11127,31,0.20090000000000008
1075057,7,11146,11147,46,0.36350000000000016
1075064,1,11140,11141,81,0.3554
1075072,7,11165,11166,33,0.23459999999999992
1075072,10,11168,11169,33,0.23110000000000008
1075074,12,11170,11171,31,0.2189000000000001
1075076,15,11173,11174,22,0.15870000000000006
1075088,19,11177,11178,23,0.28749999999999964
1075088,24,11183,11184,25,0.3130999999999995
1075089,8,11166,11167,23,0.1595000000000002
1075089,23,11181,11183,19,0.2427999999999999
1075089,25,11184,11185,33,0.3239000000000001
1075090,22,11180,11181,12,0.15600000000000058
1075094,9,11167,11168,47,0.3270999999999997
1075095,29,11207,11215,300,1.040700000000001
1075096,28,11206,11207,147,0.6548999999999996
1075097,14,11172,11173,29,0.20570000000000022
1075097,22,11191,11192,15,0.19380000000000042
1075098,21,11190,11191,21,0.26009999999999955
1075098,25,11194,11195,9,0.1205999999999996
1075098,26,11195,11196,17,0.17540000000000067
1075100,17,11175,11176,23,0.2873999999999999
1075100,18,11176,11177,18,0.22560000000000002
1075100,20,11189,11190,18,0.22710000000000008
1075101,24,11193,11194,22,0.27059999999999995
1075102,11,11169,11170,23,0.16349999999999998
1075102,13,11171,11172,25,0.17479999999999984
1075102,19,11177,11189,25,0.3108000000000004
1075102,23,11192,11193,12,0.1471
1075103,12,11141,11232,24,0.14080000000000004
1075103,16,11235,11236,49,0.2846000000000002
1075105,1,11215,11950,25,0.2576
1075107,9,11219,11220,149,0.7341000000000002
1075108,11,11221,11222,21,0.14319999999999933
1075110,14,11224,11225,48,0.32869999999999955
1075111,8,11218,11219,121,0.5992000000000002
1075113,10,11230,11231,14,0.10489999999999977
1075116,9,11229,11230,30,0.22330000000000005
1075116,24,11153,11154,24,0.3324000000000007
1075116,30,11159,11371,24,0.2964000000000002
1075123,27,11196,11206,153,0.6860999999999997
1075126,16,11174,11175,34,0.20069999999999988
1075127,2,11222,11223,41,0.28150000000000003
1075127,6,11226,11227,41,0.28380000000000005
1075127,17,11236,11237,35,0.20460000000000012
1075128,2,11950,11209,34,0.3462
1075128,3,11209,11210,37,0.3843
1075128,7,11213,11218,107,1.0595999999999999
1075128,18,11228,11229,34,0.2184999999999997
1075129,15,11225,11226,45,0.30740000000000034
1075129,23,11232,11233,34,0.19540000000000024
1075132,30,11239,11240,23,0.1639999999999997
1075133,6,11212,11213,38,0.3939999999999999
1075133,13,11223,11224,30,0.20969999999999978
1075134,5,11211,11212,30,0.30820000000000003
1075134,10,11220,11221,30,0.14320000000000022
1075135,21,11190,11197,23,0.2279
1075135,22,11197,11198,19,0.19229999999999947
1075135,23,11198,11199,22,0.22550000000000026
1075135,24,11199,11200,22,0.2248000000000001
1075135,25,11200,11201,39,0.38319999999999954
1075135,26,11201,11202,24,0.23800000000000043
1075135,27,11202,11203,54,0.5374999999999996
1075135,28,11203,11204,52,0.4512999999999998
1075135,29,11204,11205,79,0.32120000000000015
1075135,30,11205,11196,41,0.16640000000000033
1075136,20,11178,11179,13,0.16900000000000048
1075136,21,11179,11180,14,0.18229999999999968
1075136,26,11185,11186,43,0.31709999999999994
1075136,27,11186,11187,57,0.42130000000000045
1075136,28,11187,11188,38,0.28219999999999956
1075136,29,11188,11191,38,0.28080000000000016
1075147,4,11162,11163,48,0.3286
1075149,1,13021,11160,80,0.5945
1075149,2,11160,11161,40,0.2723
1075150,3,11161,11162,26,0.18110000000000004
1075152,5,11163,11164,22,0.1513
1075152,6,11164,11165,24,0.1411
1075154,28,11237,11238,40,0.20239999999999903
1075158,32,11241,11155,6,0.046299999999998676
1075160,31,11240,11241,52,0.36380000000000123
1075162,24,11233,11234,42,0.24569999999999936
1075163,25,11234,11235,29,0.17070000000000007
1075163,29,11238,11239,18,0.1264000000000003
1075164,4,11210,11211,29,0.30200000000000005
1075166,12,11141,13012,18,0.13559999999999972
1075167,25,11154,11155,12,0.17329999999999934
1075168,29,11158,11159,13,0.1882999999999999
1075169,11,11231,11141,39,0.2926000000000002
1075169,23,11152,11153,13,0.18100000000000005
1075169,26,11155,11156,13,0.18520000000000003
1075169,27,11156,11157,13,0.1930000000000005
1075169,28,11157,11158,8,0.1109
1075171,7,11227,11228,40,0.2729999999999999
1075187,19,11260,11261,25,0.3249000000000004
1075187,21,11262,11263,25,0.28309999999999924
1075188,2,11268,11269,12,0.2848
1075189,10,11278,11282,14,0.3195999999999999
1075189,11,11282,11283,14,0.3216000000000001
1075198,9,11281,11282,40,0.5088000000000001
1075201,13,11285,11286,37,0.1856
1075202,2,11274,11275,16,0.21850000000000003
1075202,9,11284,11285,24,0.12230000000000008
1075229,13,11254,11255,18,0.19940000000000024
1075229,15,11256,11257,18,0.31359999999999966
1075229,16,11257,11258,18,0.30560000000000054
1075232,11,11252,11253,25,0.34409999999999963
1075232,19,11260,11264,27,0.45809999999999995
1075234,14,11255,11256,26,0.44910000000000005
1075234,22,11266,11267,32,0.46639999999999926
1075237,15,11286,11287,59,0.29300000000000015
1075239,3,11269,11270,11,0.24760000000000004
1075247,9,11277,11278,10,0.23809999999999976
1075262,16,11291,11292,46,0.25079999999999947
1075264,21,11243,11294,17,0.07629999999999981
1075266,17,11292,11153,32,0.17730000000000068
1075266,20,11242,11243,39,0.2120999999999995
1075282,1,11244,11160,17,0.126
1075282,6,11247,11248,30,0.20460000000000012
1075282,20,11261,11262,15,0.19779999999999998
1075288,16,11287,11288,50,0.2494000000000005
1075290,4,11270,11271,18,0.4072999999999999
1075290,17,11288,11289,48,0.23899999999999988
1075295,17,11289,11290,30,0.1498999999999997
1075298,3,11275,11276,18,0.2542
1075324,17,11258,11259,14,0.2472999999999992
1075324,21,11265,11266,16,0.27280000000000015
1075326,18,11259,11260,10,0.18350000000000044
1075327,8,11249,11250,13,0.18020000000000014
1075327,10,11251,11252,13,0.18320000000000025
1075327,12,11253,11254,13,0.17470000000000008
1075328,20,11264,11265,19,0.33389999999999986
1075328,29,11273,11261,23,0.2082000000000006
1075329,7,11248,11249,19,0.25319999999999987
1075329,9,11250,11251,19,0.2548999999999999
1075332,5,11271,11272,19,0.4255
1075332,19,11290,11291,52,0.23099999999999987
1075333,6,11272,11273,15,0.33260000000000023
1075333,7,11273,11276,15,0.34599999999999964
1075336,1,11267,11268,13,0.446
1075337,12,11283,11284,28,0.4941000000000004
1075342,8,11276,11277,11,0.25290000000000035
1075344,1,11263,11274,24,0.3316
1075347,7,11279,11280,21,0.18159999999999998
1075348,6,11278,11279,24,0.22849999999999993
1075353,8,11280,11281,15,0.19609999999999994
1075356,18,11153,11293,53,0.2908999999999997
1075356,19,11293,11242,53,0.29110000000000014
1075372,13,11184,11300,56,0.33720000000000017
1075373,4,11295,11296,97,0.5457000000000001
1075373,8,11299,11179,44,0.2519
1075375,5,11296,11297,41,0.2351000000000001
1075375,14,11300,11301,72,0.4368999999999996
1075392,11,11118,11294,75,0.45869999999999944
1075394,1,11301,11302,27,0.3032
1075394,2,11302,11303,43,0.46419999999999995
1075394,3,11303,11304,26,0.2816000000000002
1075394,4,11304,11305,24,0.24449999999999994
1075394,5,11305,11306,23,0.3164
1075394,6,11306,11307,15,0.20759999999999978
1075394,7,11307,11308,10,0.1454000000000002
1075394,8,11308,11309,17,0.23629999999999973
1075394,11,11311,11312,19,0.27010000000000023
1075394,12,11312,11313,37,0.5210999999999997
1075394,14,11314,11118,10,0.14720000000000066
1075400,10,11318,13016,21,0.10280000000000022
1075401,7,11315,11316,32,0.16839999999999988
1075404,15,11324,11325,13,0.1275999999999997
1075404,24,11334,11335,28,0.4744999999999999
1075404,27,11337,11338,11,0.19639999999999969
1075404,28,11338,11339,12,0.21520000000000028
1075404,29,11339,11340,12,0.20289999999999964
1075404,30,11340,13017,11,0.09970000000000034
1075405,10,11341,11342,62,0.2124999999999999
1075413,5,11125,11247,15,0.15169999999999995
1075413,19,11328,11329,11,0.11359999999999948
1075413,23,11331,11332,31,0.2820999999999998
1075414,21,11330,11322,4,0.04659999999999975
1075414,24,11332,11333,52,0.3320999999999996
1075415,20,11329,11330,18,0.17600000000000016
1075415,22,11322,11331,86,0.8370000000000006
1075416,6,11247,11315,27,0.2504000000000002
1075416,18,11327,11328,30,0.29630000000000045
1075416,25,11333,11323,128,0.7993000000000006
1075425,2,11160,11245,26,0.256
1075425,3,11245,11246,26,0.2620000000000001
1075425,4,11246,11125,30,0.29769999999999985
1075425,11,13016,11319,12,0.11919999999999975
1075425,12,11319,11320,14,0.1383000000000001
1075425,13,11320,11321,12,0.12159999999999993
1075425,16,11325,11326,12,0.11880000000000024
1075451,1,11294,11160,56,0.5517
1075451,14,11321,11324,19,0.19010000000000016
1075451,17,11326,11327,38,0.34629999999999983
1075451,22,11322,11323,19,0.1059000000000001
1075451,23,11323,11334,14,0.24710000000000054
1075451,25,11335,11336,18,0.313299999999999
1075451,26,11336,11337,14,0.24010000000000087
1075462,9,11317,11318,45,0.2378
1075470,8,11316,11317,22,0.11929999999999996
1075478,14,11321,11322,49,0.1835
1075485,4,11330,11323,39,0.15239999999999998
1075485,15,11342,11343,37,0.1599999999999997
1075507,13,11344,11292,68,0.2481
1075510,4,11330,13069,29,0.19410000000000005
1075510,5,13069,11340,44,0.28980000000000006
1075510,7,13017,11341,9,0.04150000000000009
1075510,10,11343,11344,40,0.1604000000000001
1075523,5,11349,11350,48,0.19379999999999997
1075524,5,11341,11362,29,0.11430000000000007
1075524,7,11363,11364,41,0.15870000000000006
1075524,9,11365,11366,30,0.12430000000000008
1075529,6,11362,11363,50,0.19609999999999994
1075547,7,11351,11352,10,0.07069999999999999
1075548,11,11361,11327,120,1.2355999999999998
1075548,12,11327,11323,120,0.7384000000000004
1075564,12,11357,11358,27,0.09980000000000011
1075570,9,11353,11355,106,0.4148999999999998
1075572,10,11366,11367,68,0.2750999999999999
1075572,12,11368,11369,67,0.14040000000000008
1075578,1,11358,11359,51,0.3344
1075580,6,11350,11351,42,0.15959999999999996
1075586,11,11356,11357,86,0.3365999999999998
1075588,2,11346,11347,31,0.11759999999999993
1075588,10,11355,11356,31,0.1221000000000001
1075592,3,11347,11348,31,0.12519999999999998
1075593,8,11352,11353,19,0.1281000000000001
1075593,9,11353,11360,61,0.4070999999999998
1075598,4,11348,11349,59,0.23620000000000008
1075599,11,11367,11368,33,0.12739999999999996
1075600,8,11364,11365,49,0.20019999999999993
1075602,4,11361,11341,13,0.08109999999999995
1075611,2,11359,11360,28,0.1851
1075611,3,11360,11361,28,0.18390000000000006
1075618,20,11388,11389,49,0.4748999999999999
1075627,12,11407,11408,31,0.3262999999999998
1075627,13,11408,11409,16,0.17440000000000033
1075627,14,11409,11410,31,0.3189000000000002
1075627,18,11413,11373,69,0.20859999999999967
1075627,20,11374,11414,198,0.516
1075628,11,11380,11381,28,0.18100000000000005
1075629,12,11381,11382,47,0.2974999999999999
1075634,18,11386,11387,64,0.22379999999999978
1075640,16,11385,11331,86,0.3111999999999995
1075661,14,11383,11384,53,0.3188
1075662,10,11379,11380,53,0.33720000000000017
1075663,17,11331,11386,61,0.22110000000000074
1075666,5,11374,11375,149,0.39880000000000004
1075668,6,11375,11376,91,0.2457999999999998
1075676,10,11405,11406,24,0.2503000000000002
1075676,11,11406,11407,21,0.22129999999999983
1075676,15,11410,11411,27,0.28530000000000033
1075676,16,11411,11412,30,0.2726999999999995
1075676,17,11412,11413,51,0.1546000000000003
1075676,19,11373,11374,120,0.35909999999999975
1075677,12,11384,11385,89,0.31919999999999993
1075677,20,11392,11393,41,0.3132999999999999
1075677,22,11394,11395,22,0.14539999999999953
1075677,23,11395,11396,43,0.28750000000000053
1075678,16,11387,11388,83,0.6276999999999999
1075678,17,11388,11390,32,0.2439
1075678,18,11390,11391,46,0.35329999999999995
1075678,19,11391,11392,54,0.41410000000000036
1075678,21,11393,11394,44,0.3144
1075678,24,11396,11397,30,0.1993999999999998
1075678,25,11397,11389,85,0.8006999999999991
1075682,9,11378,11379,44,0.2795000000000001
1075691,7,11376,13111,60,0.15779999999999994
1075691,8,13111,11378,43,0.27170000000000005
1075694,13,11382,11383,32,0.2073999999999998
1075695,8,11333,11404,16,0.3064
1075695,9,11404,11405,25,0.35409999999999986
1075696,1,11389,11398,32,0.6537
1075696,4,11400,11401,13,0.25560000000000005
1075696,5,11401,11402,21,0.39780000000000015
1075696,6,11402,11403,37,0.6892
1075696,7,11403,11333,14,0.27429999999999977
1075697,2,11398,11399,13,0.2553000000000001
1075697,3,11399,11400,9,0.17059999999999986
1075712,1,11387,11389,120,0.8659
1075721,26,11413,11414,26,0.15109999999999957
1075721,27,11414,11415,45,0.2624000000000004
1075728,22,11440,11441,25,0.2392000000000003
1075728,24,11442,11446,49,0.49359999999999893
1075729,9,11420,11421,66,0.35589999999999966
1075745,18,11472,11473,47,0.39010000000000034
1075745,21,11475,11476,28,0.266
1075745,22,11476,11477,40,0.38209999999999944
1075745,23,11477,11478,23,0.22000000000000064
1075745,24,11478,11479,29,0.25119999999999987
1075747,19,11423,11424,10,0.3482000000000003
1075748,24,11428,11473,13,0.29629999999999956
1075751,1,11455,11456,30,0.2254
1075751,2,11456,11457,21,0.1336
1075751,3,11457,11458,59,0.373
1075751,5,11459,11460,21,0.2509999999999999
1075751,8,11462,11463,28,0.3307000000000002
1075751,10,11464,11465,32,0.3780999999999999
1075751,11,11465,11466,23,0.2737999999999996
1075751,12,11466,11467,30,0.30750000000000055
1075751,21,11425,11426,5,0.18219999999999992
1075754,3,11372,11376,62,0.3175
1075754,10,11421,11422,62,0.32410000000000005
1075761,29,11369,11370,64,0.5824999999999996
1075764,28,11415,11369,18,0.10719999999999974
1075767,21,11439,11440,51,0.4843000000000002
1075767,24,11442,11443,53,0.2764999999999995
1075767,26,11444,11445,26,0.2987000000000002
1075767,27,11445,11446,62,0.6948999999999987
1075767,28,11446,11447,27,0.3045000000000009
1075767,29,11447,11448,16,0.18009999999999948
1075767,30,11448,11449,13,0.15499999999999936
1075767,31,11449,11450,44,0.4992000000000001
1075767,32,11450,11451,31,0.34640000000000093
1075767,33,11451,11452,63,0.7027000000000001
1075767,34,11452,11453,55,0.6203000000000003
1075767,35,11453,11454,32,0.35519999999999996
1075767,36,11454,11455,51,0.5198999999999998
1075769,22,11434,11435,33,0.3132999999999999
1075769,24,11436,11437,33,0.31679999999999975
1075772,11,11422,11423,120,0.6219000000000001
1075772,17,11428,11430,84,0.7402000000000006
1075775,29,11441,11442,35,0.29309999999999903
1075776,8,11419,11420,52,0.2833000000000001
1075780,11,11422,11430,101,0.9649000000000001
1075780,12,11430,11431,16,0.15990000000000038
1075780,13,11431,11432,19,0.1856
1075780,14,11432,11433,19,0.18349999999999955
1075780,15,11433,11434,27,0.2575000000000003
1075780,17,11435,11436,35,0.33669999999999956
1075780,19,11437,11438,46,0.44259999999999966
1075780,20,11438,11439,39,0.37929999999999975
1075780,24,11442,11444,120,0.6295999999999999
1075781,26,11474,11475,95,0.3874000000000004
1075784,25,11473,11474,85,0.3536999999999999
1075791,4,11458,11443,111,0.6185
1075791,5,11443,11444,64,0.3468
1075791,7,11445,11459,59,0.2833000000000001
1075791,16,11467,11468,26,0.29659999999999975
1075791,17,11468,11469,14,0.16520000000000046
1075791,18,11469,11470,16,0.18769999999999953
1075791,19,11470,11471,20,0.23789999999999978
1075791,20,11471,11472,25,0.28640000000000043
1075791,21,11472,11423,27,0.31400000000000006
1075795,20,11424,11425,9,0.3131000000000004
1075798,22,11426,11427,15,0.5106999999999999
1075799,4,11458,11459,70,0.42399999999999993
1075799,6,11460,11461,25,0.2926000000000002
1075799,7,11461,11462,43,0.5054999999999998
1075799,9,11463,11464,38,0.4413
1075799,23,11427,11428,8,0.26560000000000006
1075806,13,11485,11486,41,0.25160000000000027
1075809,12,11484,11485,28,0.17099999999999982
1075810,14,11486,11487,62,0.3771
1075813,14,11491,11492,46,0.3595000000000006
1075813,15,11492,11493,9,0.43709999999999916
1075813,16,11493,13107,6,0.28030000000000044
1075813,17,13107,8499,4,0.18979999999999997
1075813,18,8499,13108,6,0.28030000000000044
1075813,19,13108,13109,5,0.2721999999999998
