service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20180826,20181118
10,1,1,1,1,1,0,0,20180724,20181202
11,0,0,0,0,0,1,0,20180724,20181202
12,0,0,0,0,0,0,1,20180724,20181202
13,0,0,0,0,0,0,0,20180724,20181202
14,1,1,1,1,1,0,0,20180624,20181231
15,0,0,0,0,0,1,0,20180624,20181231
16,0,0,0,0,0,0,1,20180624,20181231
17,0,0,0,0,0,0,0,20180624,20181231
2,0,0,0,0,0,1,0,20180826,20181118
22,1,1,1,1,1,0,0,20180219,20181231
23,0,0,0,0,0,1,0,20180219,20181231
24,0,0,0,0,0,0,1,20180219,20181231
25,0,0,0,0,0,0,0,20180219,20181231
3,0,0,0,0,0,0,1,20180826,20181118
4,0,0,0,0,0,0,0,20180826,20181118
6,1,1,1,1,1,0,0,20180826,20181231
7,0,0,0,0,0,1,0,20180826,20181231
8,0,0,0,0,0,0,1,20180826,20181231
9,0,0,0,0,0,0,0,20180826,20181231
