route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10062,googleha_transit,101,,,3,,FF0000,FFFFFF
10063,googleha_transit,102,,,3,,00E100,FFFFFF
10064,googleha_transit,121,,,3,,0000FF,FFFFFF
10065,googleha_transit,128,,,3,,950095,FFFFFF
10066,googleha_transit,140,,,3,,0000FF,FFFFFF
10067,googleha_transit,144,,,3,,804040,FFFFFF
10068,googleha_transit,153,,,3,,FF8040,FFFFFF
10069,googleha_transit,161,,,3,,8000FF,FFFFFF
10070,googleha_transit,30,,,3,,FF0000,FFFFFF
10071,googleha_transit,31-33,,,3,,0000FF,FFFFFF
10072,googleha_transit,32-36,,,3,,FF8040,FFFFFF
10073,googleha_transit,37-39,,,3,,8000FF,FFFFFF
10074,googleha_transit,38,,,3,,0000FF,FFFFFF
10075,googleha_transit,40-42,,,3,,CD1BA0,FFFFFF
10076,googleha_transit,41,,,3,,FF0000,FFFFFF
10077,googleha_transit,43,,,3,,6B52AD,FFFFFF
10078,googleha_transit,44,,,3,,0064AE,FFFFFF
10079,googleha_transit,45,,,3,,7DC181,FFFFFF
10080,googleha_transit,46,,,3,,8000FF,FFFFFF
10081,googleha_transit,47,,,3,,FF0000,FFFFFF
10082,googleha_transit,50-54,,,3,,E007A5,FFFFFF
10083,googleha_transit,53-55,,,3,,0000FF,FFFFFF
10084,googleha_transit,542,,,3,,FF0000,FFFFFF
10085,googleha_transit,56,,,3,,000000,FFFFFF
10086,googleha_transit,58,,,3,,35588C,FFFFFF
10087,googleha_transit,59,,,3,,BE4193,FFFFFF
10088,googleha_transit,60-66,,,3,,8000FF,FFFFFF
10089,googleha_transit,61,,,3,,FF0000,FFFFFF
10090,googleha_transit,63,,,3,,0000FF,FFFFFF
10091,googleha_transit,69,,,3,,004080,FFFFFF
10092,googleha_transit,72,,,3,,FF0000,FFFFFF
10093,googleha_transit,74,,,3,,0000A0,FFFFFF
10094,googleha_transit,76,,,3,,FA6D05,FFFFFF
10095,googleha_transit,80,,,3,,8000FF,FFFFFF
10096,googleha_transit,82-84,,,3,,867DB0,FFFFFF
10097,googleha_transit,83,,,3,,FF8000,FFFFFF
10098,googleha_transit,85,,,3,,4040FF,FFFFFF
10099,googleha_transit,86,,,3,,FF0000,FFFFFF
10100,googleha_transit,87,,,3,,FF5353,FFFFFF
10101,googleha_transit,88,,,3,,FF0000,FFFFFF
10102,googleha_transit,901,,,3,,002F00,FFFFFF
10103,googleha_transit,902,,,3,,FF0080,FFFFFF
10104,googleha_transit,903,,,3,,00B0B0,FFFFFF
10105,googleha_transit,904,,,3,,008080,FFFFFF
10106,googleha_transit,905,,,3,,FF0000,FFFFFF
10107,googleha_transit,906,,,3,,444DBB,FFFFFF
10108,googleha_transit,907,,,3,,7D003F,FFFFFF
10109,googleha_transit,909,,,3,,000080,FFFFFF
10110,googleha_transit,91,,,3,,FF0000,FFFFFF
10111,googleha_transit,910,,,3,,1C1CFF,FFFFFF
10112,googleha_transit,912,,,3,,004000,FFFFFF
10113,googleha_transit,913,,,3,,535300,FFFFFF
10115,googleha_transit,914,,,3,,0000A0,FFFFFF
10116,googleha_transit,915,,,3,,000000,FFFFFF
