stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,,Main St and Travelers,41.765179,-72.673435,,,0,
10,,Capitol Ave and Broad St,41.763621,-72.686946,,,0,
100,,Farmington Ave and Prospect Ave,41.765535,-72.715800,,,0,
1000,,Oak St and Farnham Dr,41.748698,-72.576505,,,0,
10001,,Corbin Ave and Governor St,41.689974,-72.798441,,,0,
10003,,Corbin Ave and Opp Walker Rd,41.692199,-72.796431,,,0,
10004,,Skipper St and Helen Dr,41.696274,-72.797858,,,0,
10005,,Skipper St and Scarlett Dr,41.698115,-72.798414,,,0,
10006,,Burritt St and 475 Burritt St,41.677292,-72.793740,,,0,
10007,,Osgood Ave and Lawrence St,41.684397,-72.796568,,,0,
10008,,Osgood Ave and Opp Lawrence St,41.684236,-72.796641,,,0,
1001,,Oak St and Opp Zimmer Rd,41.750477,-72.577019,,,0,
10012,,Scarlett Dr and Slater Rd,41.698589,-72.799660,,,0,
10014,,Stonegate Rd and 51 Stonegate Rd,41.681549,-72.813739,,,0,
10015,,Marwood Dr and 5 Marwood Dr,41.682077,-72.814550,,,0,
10016,,Marwood Dr and 17 Marwood dr,41.681335,-72.815191,,,0,
10017,,Marwood Dr and 25 Marwood Dr,41.680843,-72.813909,,,0,
1002,,Oak St and Kingston Dr,41.752534,-72.577545,,,0,
10020,,Maplehurst Ave and 40 Maplehurst Ave,41.680324,-72.805342,,,0,
10021,,Corbin Ave and Maplehurst Ave,41.680976,-72.803055,,,0,
10022,,Burritt St and Opp Clinton St,41.673611,-72.795762,,,0,
10023,,Farmington Ave and Alexander Rd,41.703235,-72.795616,,,0,
10024,,Farmington Ave and Ruth Rd,41.696380,-72.791237,,,0,
10025,,Whitney Ave and 2330 Whitney Ave,41.381951,-72.902261,,,0,
10026,,Oak St and Allen St,41.682299,-72.776035,,,0,
10027,,McClintock St and Eddy Glover Blvd,41.685949,-72.784672,,,0,
10028,,State Hwy 71 and C C S U,41.690304,-72.770692,,,0,
10029,,State Hwy 71 and Commonwealth Ave,41.690224,-72.770898,,,0,
1003,,Oak St and Gail Rd,41.754160,-72.577503,,,0,
10030,,Oak St and Allen St,41.682362,-72.776289,,,0,
10031,,Black Rock Ave and Wooster St,41.665625,-72.816694,,,0,
10032,,Whitney Ave and Mather St,41.348112,-72.913341,,,0,
10033,,Washington St and Auto Zone,41.670435,-72.783895,,,0,
10034,,Washington St and Broad St,41.673983,-72.784546,,,0,
10035,,Washington St and 261 Washington St,41.675252,-72.784800,,,0,
10036,,Washington St and Farmington Ave,41.677861,-72.785524,,,0,
10037,,Farmington Ave and Ward St,41.678791,-72.786286,,,0,
10038,,Farmington Ave and Concord St,41.679730,-72.787047,,,0,
10039,,Farmington Ave and Opp Hayes St,41.680311,-72.787483,,,0,
1004,,Oak St and Bonner Dr,41.754178,-72.577745,,,0,
10040,,Farmington Ave and Allen St,41.681687,-72.787797,,,0,
10041,,Farmington Ave and Eddy Glover Blvd,41.683108,-72.787989,,,0,
10042,,Farmington Ave and Opp Osgood Ave,41.685315,-72.788412,,,0,
10043,,Farmington Ave and Opp Richmond Ave,41.686191,-72.788617,,,0,
10044,,Farmington Ave and Opp Governor St,41.688953,-72.789257,,,0,
10048,,Farmington Ave and Carroll St,41.693395,-72.790646,,,0,
